,title,awards.wins,imdb.rating,id
633,The Jolson Story,3,7.5,630
635,The Red House,0,6.9,631
636,An Act of Murder,0,6.9,632
637,A Foreign Affair,0,7.5,633
638,Hamlet,17,7.9,634
639,A Hen in the Wind,2,7.7,635
640,The Mill on the Po,0,6.7,636
641,The Pirate,0,7.1,637
642,Drunken Angel,4,7.8,638
643,Edward My Son,0,6.6,639
644,The Hidden Room,0,7.5,640
645,Jolson Sings Again,0,6.9,641
646,Cyrano de Bergerac,5,7.6,642
647,Story of a Love Affair,2,7.2,643
648,Edge of Doom,1,6.5,644
649,Kaunis Veera eli ballaadi Saimaalta,1,6.1,645
650,Summer Stock,0,7.3,646
651,Forbidden Games,9,7.9,647
652,People Will Talk,0,7.5,648
653,Breaking the Sound Barrier,11,7.0,649
654,White Mane,3,7.4,650
655,They Met in Moscow,1,7.1,651
656,The Wolf Man,1,7.4,652
657,I Walked with a Zombie,0,7.3,653
658,The Life and Death of Colonel Blimp,3,8.2,654
659,Meshes of the Afternoon,1,8.0,655
660,L'espoir,1,6.7,656
661,The Lost Weekend,16,8.0,657
662,The Last Chance,4,6.5,658
663,Duel in the Sun,3,6.9,659
664,Great Expectations,4,8.0,660
665,The Killers,7,7.9,661
666,Notorious,5,8.1,662
667,Dèdèe d'Anvers,0,7.1,663
668,Hungry Hill,1,7.3,664
669,Command Decision,0,7.3,665
670,Every Girl Should Be Married,0,6.3,666
671,Bicycle Thieves,19,8.4,667
672,That Lady in Ermine,0,5.8,668
673,The Treasure of the Sierra Madre,16,8.3,669
674,To the Ends of the Earth,0,7.3,670
675,Adam's Rib,2,7.6,671
676,Home of the Brave,1,7.2,672
677,Madame Bovary,0,7.1,673
678,Stray Dog,4,7.9,674
679,Mister 880,3,7.2,675
680,Seven Days to Noon,0,7.2,676
681,Awaara,0,8.0,677
682,The People Against O'Hara,0,6.8,678
683,The White Sheik,0,7.3,679
684,The Tales of Hoffmann,4,7.4,680
685,The Steel Helmet,1,7.6,681
686,Casablanca,9,8.6,682
687,The Male Animal,1,6.9,683
688,The Moon and Sixpence,3,6.7,684
689,Reap the Wild Wind,0,6.8,685
690,Bataan,1,7.0,686
691,The Gang's All Here,2,6.9,687
692,Lassie Come Home,4,7.2,688
693,Report from the Aleutians,2,6.6,689
694,Saludos Amigos,4,6.3,690
695,Victory Through Air Power,2,7.0,691
696,Watch on the Rhine,5,7.5,692
697,San Pietro,1,7.0,693
698,Marèa Candelaria (Xochimilco),3,7.7,694
699,Since You Went Away,0,7.7,695
700,Tunisian Victory,1,6.9,696
701,The Picture of Dorian Gray,3,7.6,697
702,Spellbound,2,7.7,698
703,Beauty and the Beast,2,8.0,699
704,The Harvey Girls,0,7.1,700
705,My Darling Clementine,3,7.8,701
706,Murderers Among Us,0,7.6,702
707,Song of the South,2,7.4,703
708,To Each His Own,2,7.8,704
709,Black Narcissus,6,8.0,705
710,Crossfire,10,7.4,706
711,The Farmer's Daughter,0,7.5,707
712,Life with Father,6,7.3,708
713,Torment,0,7.5,709
714,Bud Abbott Lou Costello Meet Frankenstein,1,7.6,710
715,The Walls of Malapaga,4,6.9,711
716,Call Northside 777,1,7.4,712
717,Letter from an Unknown Woman,1,8.0,713
718,Rachel and the Stranger,0,7.0,714
719,Without Pity,1,7.1,715
720,The Winslow Boy,0,7.8,716
721,Champion,2,7.5,717
722,The Heiress,10,8.3,718
723,In the Good Old Summertime,0,7.2,719
724,Pinky,0,7.2,720
725,White Heat,2,8.2,721
726,The Flowers of St. Francis,0,7.6,722
727,Too Young to Kiss,2,6.3,723
728,The Overcoat,2,7.4,724
729,Holiday Inn,0,7.6,725
730,Limelight,7,8.1,726
731,The Man in the White Suit,2,7.4,727
732,The Miracle of Our Lady of Fatima,0,6.9,728
733,My Son John,2,5.6,729
734,Neighbours,2,7.8,730
735,Tom Dick and Harry,2,6.7,731
736,Road to Morocco,3,7.4,732
737,To Be or Not to Be,3,8.2,733
738,The Ghost Ship,0,6.7,734
739,The Leopard Man,0,6.9,735
740,The More the Merrier,2,8.0,736
741,Gaslight,4,7.9,737
742,This Happy Breed,1,7.3,738
743,Story of G.I. Joe,9,7.4,739
744,Wonder Man,0,7.2,740
745,Enamorada,8,7.6,741
746,Shoeshine,5,8.0,742
